INFO 2025-11-26 15:09:28,299 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:09:28,305 basehttp 213 "GET /static/admin/js/unusable_password_field.js HTTP/1.1" 200 1480
INFO 2025-11-26 15:09:49,517 basehttp 213 "POST /admin/users/user/add/ HTTP/1.1" 302 0
INFO 2025-11-26 15:09:49,550 basehttp 213 "GET /admin/users/user/2/change/ HTTP/1.1" 200 28047
INFO 2025-11-26 15:09:49,574 basehttp 213 "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
INFO 2025-11-26 15:09:49,574 basehttp 213 "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
INFO 2025-11-26 15:09:49,574 basehttp 213 "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
INFO 2025-11-26 15:09:49,574 basehttp 213 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
INFO 2025-11-26 15:09:49,578 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:09:49,582 basehttp 213 "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-11-26 15:09:49,613 basehttp 213 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 304 0
INFO 2025-11-26 15:09:49,613 basehttp 213 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
INFO 2025-11-26 15:09:49,613 basehttp 213 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
INFO 2025-11-26 15:10:30,722 basehttp 213 "POST /admin/users/user/2/change/ HTTP/1.1" 302 0
INFO 2025-11-26 15:10:30,744 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 13500
INFO 2025-11-26 15:10:30,773 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:11:13,830 autoreload 265 D:\pyProject\StudenManager\ManagerApi\apps\users\admin.py changed, reloading.
INFO 2025-11-26 15:11:14,310 autoreload 667 Watching for file changes with StatReloader
INFO 2025-11-26 15:11:15,636 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 13538
INFO 2025-11-26 15:11:15,660 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:11:21,052 basehttp 213 "GET /admin/users/user/add/ HTTP/1.1" 200 12317
INFO 2025-11-26 15:11:21,074 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:11:40,015 basehttp 213 "POST /admin/users/user/add/ HTTP/1.1" 302 0
INFO 2025-11-26 15:11:40,056 basehttp 213 "GET /admin/users/user/3/change/ HTTP/1.1" 200 28047
INFO 2025-11-26 15:11:40,081 basehttp 213 "GET /admin/jsi18n/ HTTP/1.1" 200 9327
INFO 2025-11-26 15:11:56,515 basehttp 213 "POST /admin/users/user/3/change/ HTTP/1.1" 302 0
INFO 2025-11-26 15:11:56,530 basehttp 213 "GET /admin/users/user/ HTTP/1.1" 200 14257
